date,area,pref,category,news,memo
2020-01-01,中華,,,武漢び華南海鮮卸売市場を閉鎖,
2020-01-06,日本,,,厚生労働省が初の注意喚起,
2020-01-14,WHO,,,WHOが新型コロナウィルスを確認,
2020-01-16,日本,,,日本国内で初の感染確認,
2020-01-23,中華,,,武漢封鎖,
2020-01-24,中華,,,春節の連休が始まる,
2020-01-27,中華,,,団体ツアー旅行が禁止に,
2020-01-28,日本,,,日本国内で日本人初の感染確認,
2020-01-28,日本,,,新型コロナウィルスを指定感染症に指定,
2020-01-28,日本,,,厚生労働省対策推進本部会議設立,
2020-01-29,日本,,,武漢からのチャーター第１便が羽田到着,
2020-01-31,WHO,,,WHOが「国際的な緊急事態」を宣言,
2020-01-31,日本,,,中華人民共和国湖北省からの入国拒否を決定,
2020-01-31,イタリア,,,緊急事態を宣言,
2020-02-01,日本,全国,,指定感染症に関する法律が施行,
2020-02-03,日本,神奈川県,,乗客の感染が確認されたクルーズ船が入港,横浜港
2020-02-03,ブラジル,,,ブラジルが緊急事態宣言,
2020-02-05,日本,神奈川県,,入港したクルーズ船で集団感染判明,横浜港
2020-02-11,WHO,,,WHOが新型コロナウィルスの正式名称を決定,
2020-02-13,日本,,,日本国内で初の感染者死亡を確認,
2020-02-15,フランス,,,フランス国内で初の感染者死亡を確認,
2020-02-24,中華,,,全国人民代表会議の延期を決定,
2020-02-24,イタリア,,,イタリア国内の感染者数が急増,
2020-02-25,日本,全国,自粛要請,政府からイベント自粛要請,
2020-02-26,日本,,,東京都内で初の感染者死亡が発表される,
2020-02-27,日本,全国,休校要請,全国の小中高・特別支援学校の臨時休校要請,
2020-02-28,日本,北海道,緊急事態,北海道宣言,
2020-02-29,日本,,,TDLで臨時休園はじまる,
2020-02-29,日本,,,USJで臨時休園はじまる,
2020-03-01,日本,,,東京マラソン開催,
2020-03-01,フランス,,,パリのルーブル美術館が休館,
2020-03-09,イタリア,,,外出制限を発表,
2020-03-10,日本,全国,自粛要請,政府から自粛延長要請,
2020-03-11,WHO,,,パンデミック宣言,
2020-03-14,日本,,,新型インフルエンザ特措法施行,
2020-03-16,フランス,,,外出禁止令を発表,
2020-03-24,日本,,,東京五輪延期決定,
2020-03-25,日本,東京都,自粛要請,週末外出自粛要請,
2020-03-26,日本,首都圏,自粛要請,首都圏で外出自粛要請,
2020-03-29,日本,,,志村けんが新型コロナウィルスによる肺炎で死去,
2020-04-07,日本,7都道府県,緊急事態,7都道府県発令,
2020-04-16,日本,全国,緊急事態,全国発令,
2020-05-04,日本,全国,緊急事態,期間延長,
2020-05-14,日本,39県,緊急事態,一部解除,
2020-05-20,日本,,,夏の全国高校野球が中止決定,
2020-05-21,日本,関西圏,緊急事態,関西解除,
2020-05-25,日本,全国,緊急事態,全面解除,
2020-06-02,日本,東京都,非常事態,東京アラート発令,
2020-06-11,日本,東京都,非常事態,東京アラート解除,
2020-06-19,日本,,,移動自粛要請が全国で緩和,
2020-06-28,,,,世界の感染者が1000万人を超える,
2020-06-29,,,,世界の死者が50万人を超える,
2020-07-13,WHO,,,WHOが事態悪化を警告,
2020-07-15,日本,東京都,非常事態,警戒レベルを最高レベルに引き上げ,
2020-07-17,日本,神奈川県,非常事態,神奈川警戒アラート発動,
2020-07-18,,,,世界の死者が60万人を超える,
2020-07-22,日本,,GoToS,GoToトラベル（除く東京）開始,
2020-07-28,日本,,,日本国内の死者が1000人を超える,
2020-07-29,日本,,,日本国内の一日の感染者が1000人を超える,
2020-07-29,日本,,,岩手県で初の感染者,
2020-07-30,日本,東京都,自粛要請,営業時間短縮要請,
2020-07-31,日本,沖縄県,緊急事態,沖縄県宣言,
2020-07-31,日本,岐阜県,非常事態,岐阜県非常事態宣言,
2020-08-03,日本,三重県,緊急事態,三重県宣言,
2020-08-05,日本,愛知県,緊急事態,愛知県宣言,
2020-08-10,アメリカ,,,アメリカ合衆国の感染者が500満員を超える,
2020-08-11,,,,世界の感染者が2000万人を超える,
2020-08-31,日本,三重県,緊急事態,三重県解除,
2020-09-05,日本,沖縄県,緊急事態,沖縄県解除,
2020-10-01,日本,,GoToS,GoToイート・GoToトラベル（東京）開始,
2020-10-12,,,,ヨーロッパで感染急拡大,
2020-10-14,フランス,,,フランスで非常事態宣言,
2020-10-29,日本,,GoToS,GoToイベント開始,
2020-11-07,日本,北海道,非常事態,警戒ステージを引き上げ,
2020-11-28,日本,北海道,GoToE,GoToトラベル（札幌）一時停止,
2020-11-28,日本,大阪府,GoToE,GoToトラベル（大阪）一時停止,
2020-12-16,日本,愛知県,GoToE,GoToトラベル（名古屋）一時停止,
2020-12-16,日本,広島県,GoToE,GoToトラベル（広島）一時停止,
2020-12-18,日本,東京都,GoToE,GoToトラベル（東京）一時停止,
2020-12-28,日本,,GoToE,GoToトラベル一時停止,
